1,Alfred Hitchcock ,Vertigo (1958) ,1958
2,Martin Scorsese,Goodfellas (1990) ,1990
3,Steven Spielberg ,E.T.: The Extra-Terrestrial ,
4,Howard Hawks,His Girl Friday (1940) ,1940
5,Francis Ford Coppola ,The Godfather (1972) ,1972
6,Orson Welles ,Citizen Kane (1941) ,1941
7,Ingmar Bergman,"Persona (1966, Swed.) ",1966
8,Stanley Kubrick,2001: A Space Odyssey (1968) ,1968
9,Peter Jackson ,The Lord of the Rings Trilogy ,
10,David Fincher,Fight Club (1999) ,1999
11,Akira Kurosawa ,"The Seven Samurai (1954, Jp.) ",1954
12,Quentin Tarantino ,Reservoir Dogs (1992) ,1992
13,Billy Wilder ,The Apartment (1960) ,1960
14,John Ford ,The Searchers (1956) ,1956
15,Steven Soderbergh ,Out of Sight (1998) ,1998
16,Michael Powell ,The Red Shoes (1948) ,1948
17,David Cronenberg ,Crash (1996) ,1996
18,Joel & Ethan Coen ,Miller's Crossing (1990) ,1990
19,Woody Allen ,Manhattan (1979) ,1979
20,Paul Thomas Anderson ,Magnolia (1999) ,1999
21,Clint Eastwood ,Unforgiven (1992) ,1992
22,David Lynch ,Blue Velvet (1996) ,1996
23,Jean Renoir ,"The Rules of the Game (1939, Fr.) ",1939
24,Tim Burton ,Ed Wood (1994) ,1994
25,Hayao Miyazaki ,"My Neighbor Totoro (1988, Jp.) ",1988
26,Robert Altman ,Nashville (1975) ,1975
27,Sam Peckinpah ,Pat Garrett & Billy the Kid (1973) ,1973
28,Michael Mann ,Heat (1995) ,1995
29,Jean Pierre Melville ,"Army of Shadows (1969, Fr.) ",1969
30,Luis Bunuel ,"That Obscure Object of Desire (1977, Sp.) ",1977
31,Terrence Malick ,Badlands (1973) ,1973
32,Christopher Nolan ,Memento (2000) ,2000
33,Yasujiro Ozu ,"Tokyo Story (1957, Jp.) ",1957
34,Carol Reed ,"The Third Man (1949, UK) ",1949
35,Rob Reiner ,This is Spinal Tap (1984) ,1984
36,Roman Polanski ,Chinatown (1974) ,1974
37,Sergio Leone ,"Once Upon a Time in the West (1968, It.) ",1968
38,James Cameron ,The Terminator (1984) ,1984
39,Ridley Scott ,Blade Runner (1982) ,1982
40,David Lean ,"Lawrence of Arabia (1962, UK) ",1962
41,Ang Lee ,The Ice Storm (1997) ,1997
42,Frank Capra ,It's a Wonderful Life (1946) ,1946
43,Preston Sturges ,Sullivan's Travels (1941) ,1941
44,Francois Truffaut ,"The 400 Blows (1959, Fr.) ",1959
45,Werner Herzog ,"Aguirre, the Wrath of God (1972, Germ.) ",1972
46,Alexander Payne ,Sideways (2004) ,2004
47,Kryzsztof Kieslowski ,"Three Colors: Red (1994, Fr/Pol.) ",1994
48,Fritz Lang ,"M (1931, Germ.) ",1911
49,Woody Allen ,Annie Hall (1977) ,1977
50,Ang Lee ,"Crouching Tiger, Hidden Dragon (2000, HK/US) ",2000
51,Billy Wilder ,Double Indemnity (1944) or Sunset Boulevard (1950) ,1950
52,Joel & Ethan Coen ,Fargo (1996) ,1996
53,Werner Herzog ,"Fitzcarraldo (1982, Germ.) ",1982
54,Mike Leigh ,Naked (1993) ,1993
55,Clint Eastwood ,or Million Dollar Baby (2004) ,2004
56,David Lynch ,or Mulholland Drive (2001) ,2001
57,Tim Burton ,or Pee-Wee's Big Adventure (1985) ,1985
58,Alfred Hitchcock ,or Psycho (1960) ,1960
59,Paul Thomas Anderson ,or Punch-Drunk Love (2002) ,2002
60,Howard Hawks,or The Big Sleep (1946) ,1946
61,David Cronenberg ,or The Fly (1986) ,1986
62,Francis Ford Coppola ,"or The Godfather, Part II (1974) ",1974
63,Sergio Leone ,"or The Good, the Bad, and the Ugly (1966, It.) ",1966
64,Jean Renoir ,"or The Grand Illusion (1937, Fr.) ",1937
65,Preston Sturges ,or The Lady Eve (1941) ,1941
66,Michael Mann ,or The Last of the Mohicans (1992) ,1992
67,Sam Fuller ,Pickup on South Street (1953) ,1953
68,Quentin Tarantino ,Pulp Fiction (1994) ,1994
69,Akira Kurosawa ,"Rashomon (1950, Jp.) ",1950
70,Steven Spielberg ,Schindler's List (1993) ,1993
71,David Fincher,Se7en (1995) ,1995
72,Mike Leigh ,Secrets & Lies (1996) ,1996
73,Hayao Miyazaki ,"Spirited Away (2001, Jp.) ",2001
74,Martin Scorsese,Taxi Driver (1976) ,1976
75,Sam Fuller ,The Big Red One (1980) ,1980
76,Luis Bunuel ,"The Exterminating Angel (1962, Sp.) ",1962
77,Ingmar Bergman,"The Seventh Seal (1957, Swed.) ",1957
78,Sam Peckinpah ,The Wild Bunch (1969) ,1969
79,Kryzsztof Kieslowski ,"Three Colors: Blue (1993, Fr/Pol.) ",1993
80,James Cameron ,Titanic (1997) ,1997
81,Steven Soderbergh ,Traffic (2000) ,2000
