RAGIONE SOCIALE,FATTURATO 2019 (000 eur),2019/2018 (%),MOL 2019 (%)
ENEL GLOBAL TRADING S.P.A.,24812541,"35,4","27,98"
GESTORE DEI MERCATI ENERGETICI S.P.A.,17193898,"-12,7","0,08"
ENEL ENERGIA S.P.A.,13812389,"7,8","13,71"
GESTORE DEI SERVIZI ENERGETICI GSE S.P.A.,13706159,"-3,7","0,16"
SERVIZIO ELETTRICO NAZIONALE S.P.A.,7731712,"-9,7","5,07"
EDISTRIBUZIONE S.P.A.,6827142,"2,2","49,93"
EDISON S.P.A.,6193552,-11,"3,29"
ENEL PRODUZIONE S.P.A.,5543993,"4,5","11,27"
ENI GAS E LUCE S.P.A.,4492008,"5,4","9,11"
A2A S.P.A.,4383572,"17,1","4,66"
EDISON ENERGIA S.P.A.,4272831,13,"0,78"
HERA COMM S.P.A.,3183508,"8,9","5,34"
ACQUIRENTE UNICO S.P.A.,3083349,"-16,4","0,13"
HERA TRADING S.R.L.,3062829,"19,7","1,37"
ENGIE ITALIA SPA,2650745,"4,3","-8,22"
IREN MERCATO S.P.A.,2504900,"1,4","3,87"
AXPO ITALIA S.P.A.,2374065,"21,2","27,49"
A2A ENERGIA S.P.A.,2242195,"40,2","7,4"
TERNA RETE ELETTRICA NAZIONALE S.P.A.,1973341,"4,3","78,64"
REPOWER ITALIA S.P.A.,1783983,"12,1","1,3"
SORGENIA S.P.A.,1700015,"1,4","-0,98"
ITALGAS RETI SPA,1669275,"6,1","50,85"
ACEA ENERGIA S.P.A.,1549181,"-3,7","3,94"
ALPHERG S.P.A.,1461495,"47,6","0,27"
ENEL ITALIA S.P.A.,1388583,"0,2","12,5"
DUFERCO ENERGIA S.P.A.,1379878,"7,6","-0,15"
IREN ENERGIA S.P.A.,1302690,5,"18,96"
HERA S.P.A.,1206041,"-1,1","18,98"
ENEL GREEN POWER S.P.A.,1143888,"-11,8","32,86"
E.ON ENERGIA S.P.A.,1098680,"16,8","2,82"
ESTRA ENERGIE S.R.L.,1059422,"14,9",3
EUROPE ENERGY S.P.A.,977403,"117,2","1,02"
CENTREX ITALIA S.P.A.,948614,"6,7","0,4"
DOLOMITI ENERGIA SOCIETA’ PER AZIONI,933580,"8,1","3,84"
HB TRADING S.P.A.,931051,"8,5","0,56"
ILLUMIA S.P.A.,885336,"2,7","2,47"
ALPERIA SMART SERVICES SRL,877470,"-24,6","1,33"
EGEA COMMERCIALE S.R.L.,876008,"28,5","0,57"
EP PRODUZIONE S.P.A.,869126,-3,"7,75"
ALPERIA TRADING SRL,867682,N.D.,"11,03"
SPIGAS S.R.L.,811671,"-22,8",-3
REPOWER VENDITA ITALIA S.P.A.,809787,"5,6","1,14"
UNOGAS ENERGIA S.P.A.,793413,"13,6","4,91"
DOLOMITI ENERGIA TRADING S.P.A.,781141,"-5,2","1,7"
AGSM ENERGIA S.P.A.,778683,"55,7","3,68"
CVA ENERGIE S.R.L.,733288,"-4,5","1,1"
2I RETE GAS S.P.A.,717914,"17,7","68,75"
ERG POWER GENERATION S.P.A.,684492,"1,3","-0,61"
SORGENIA TRADING S.P.A.,679746,"-10,1","-0,04"
TIRRENO POWER S.P.A.,666544,"-38,7","30,9"
ACEA ATO 2 S.P.A.,654104,"3,4","51,46"
ELECTRADE S.P.A.,633951,"-14,2","0,08"
SORGENIA POWER S.P.A.,600412,20,"25,07"
VIVIGAS S.P.A.,587264,"10,7","3,48"
ARETI S.P.A.,560277,"4,7","56,3"
SHELL ENERGY ITALIA S.R.L.,533316,"14,9","-0,25"
ALPIQ ENERGIA ITALIA S.P.A.,524669,"11,9","2,94"
CURA GAS & POWER S.P.A.,503173,"36,6","0,17"
NOVA AEG S.P.A,494434,"21,8","0,23"
UNARETI S.P.A.,474734,"-13,5","51,01"
TERNA RETE ITALIA S.P.A.,463191,"4,2","3,05"
IRETI S.P.A.,451916,"1,8","39,77"
ENIPOWER SPA,436017,"3,5","35,55"
SOCIETA’ METROPOLITANA ACQUE TORINO S.P.A.,423940,"6,1","29,48"
BEYFIN S.P.A.,412229,"-0,9","5,2"
EGO ENERGY SRL,409067,"9,4","-1,09"
TELENERGIA S.R.L.,367223,"12,6","1,03"
C.U.RA. CONSORZIO UTILITIES RAVENNA S.C.R.L.,358988,"42,7","0,38"
ARCELORMITTAL ITALY ENERGY S.R.L.,353403,325,"2,14"
ASCOTRADE S.P.A.,343257,"-1,3",6
FREE ENERGIA S.P.A.,340120,"-23,2","0,71"
2B ENERGIA S.P.A.,338262,"11,7","0,51"
ACEGASAPSAMGA S.P.A.,334897,"-4,4","28,77"
VESTAS ITALIA S.R.L.,319732,"11,8","1,19"
BLUENERGY GROUP S.P.A.,318973,"30,4","7,14"
2V ENERGY SRL,317845,-11,"0,18"
GRUPPO SOCIETA’ GAS RIMINI S.P.A.,302963,"30,4","1,92"
EDELWEISS ENERGIA S.P.A.,301845,"-48,5","-1,47"
ENEGAN SOCIETA’ PER AZIONI,286646,"30,9","4,51"
EDISON INTERNATIONAL S.P.A.,269660,"-12,5","75,39"
ENOI S.P.A.,267607,"-81,2","-2,84"
UTILITA’ S.P.A.,258658,"-17,3","1,72"
PUBLIACQUA S.P.A.,257598,"4,4","47,19"
CAP HOLDING S.P.A.,252986,"-22,3","38,99"
EXERGIA S.P.A.,251944,"10,8","0,89"
GLOBAL POWER S.P.A.,246967,"54,9","0,8"
MM S.P.A.,245972,"4,7","17,79"
EP PRODUZIONE CENTRALE LIVORNO FERRARIS S.P.A.,245837,"-4,1","6,94"
INRETE DISTRIBUZIONE ENERGIA S.P.A.,243730,"1,6","33,09"
A2A CALORE & SERVIZI S.R.L.,236139,4,"32,92"
FIUME SANTO S.P.A.,210457,"-3,1","8,7"
GAS INTENSIVE SOC. CONSORTILE A R.L.,209744,"-21,8","0,32"
IREN S.P.A.,198929,11,"5,32"
SINERGIE ITALIANE S.R.L.,194069,"-11,2","2,26"
CRE S.C.P.A.,188568,"7,6","-0,21"
TOSCANA ENERGIA S.P.A.,186349,"20,2","54,3"
GORI S.P.A.,185045,"11,4","32,94"
HYDRO DOLOMITI ENERGIA S.R.L.,183716,"-4,9","42,23"
COMPAGNIA ENERGETICA ITALIANA S.P.A.,177060,"0,4","3,26"
A.I.M. ENERGY S.R.L.,173853,"11,9","7,07"
